plan;supply_date_start;supply_date_end;amount
monthly;2019-07-04;2019-08-04 00:00:00;12
monthly;2019-07-04;2019-08-04 00:00:00;12
yearly;2019-07-04;2020-07-04 00:00:00;119
monthly;2019-07-04;2019-08-04 00:00:00;12
yearly;2019-07-04;2020-07-04 00:00:00;119
yearly;2019-07-04;2020-07-04 00:00:00;119
yearly;2019-07-04;2020-07-04 00:00:00;119
yearly;2019-07-04;2020-07-04 00:00:00;119
monthly;2019-07-04;2019-08-04 00:00:00;12
monthly;2019-07-04;2019-08-04 00:00:00;12
monthly;2019-07-04;2019-08-04 00:00:00;12
yearly;2019-07-04;2020-07-04 00:00:00;119
monthly;2019-07-04;2019-08-04 00:00:00;12
monthly;2019-07-04;2019-08-04 00:00:00;12
yearly;2019-07-04;2020-07-04 00:00:00;119
yearly;2019-07-04;2020-07-04 00:00:00;119
yearly;2019-07-04;2020-07-04 00:00:00;119
yearly;2019-07-05;2020-07-05 00:00:00;119
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
yearly;2019-07-05;2020-07-05 00:00:00;119
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
yearly;2019-07-05;2020-07-05 00:00:00;119
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
yearly;2019-07-05;2020-07-05 00:00:00;119
yearly;2019-07-05;2020-07-05 00:00:00;119
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
yearly;2019-07-05;2020-07-05 00:00:00;119
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
yearly;2019-07-05;2020-07-05 00:00:00;119
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-05;2019-08-05 00:00:00;12
monthly;2019-07-06;2019-08-06 00:00:00;12
monthly;2019-07-06;2019-08-06 00:00:00;12
yearly;2019-07-06;2020-07-06 00:00:00;119
monthly;2019-07-06;2019-08-06 00:00:00;12
monthly;2019-07-06;2019-08-06 00:00:00;12
yearly;2019-07-06;2020-07-06 00:00:00;119
yearly;2019-07-06;2020-07-06 00:00:00;119
monthly;2019-07-06;2019-08-06 00:00:00;12
monthly;2019-07-06;2019-08-06 00:00:00;12
yearly;2019-07-06;2020-07-06 00:00:00;119
yearly;2019-07-06;2020-07-06 00:00:00;119
monthly;2019-07-06;2019-08-06 00:00:00;12
yearly;2019-07-06;2020-07-06 00:00:00;119
monthly;2019-07-06;2019-08-06 00:00:00;12
yearly;2019-07-06;2020-07-06 00:00:00;119
yearly;2019-07-06;2020-07-06 00:00:00;119
yearly;2019-07-06;2020-07-06 00:00:00;119
monthly;2019-07-06;2019-08-06 00:00:00;12
monthly;2019-07-07;2019-08-07 00:00:00;12
yearly;2019-07-07;2020-07-07 00:00:00;119
monthly;2019-07-07;2019-08-07 00:00:00;12
yearly;2019-07-07;2020-07-07 00:00:00;119
monthly;2019-07-07;2019-08-07 00:00:00;12
monthly;2019-07-07;2019-08-07 00:00:00;12
yearly;2019-07-07;2020-07-07 00:00:00;119
yearly;2019-07-07;2020-07-07 00:00:00;119
yearly;2019-07-07;2020-07-07 00:00:00;119
monthly;2019-07-07;2019-08-07 00:00:00;12
monthly;2019-07-07;2019-08-07 00:00:00;12
yearly;2019-07-07;2020-07-07 00:00:00;119
monthly;2019-07-07;2019-08-07 00:00:00;12
yearly;2019-07-07;2020-07-07 00:00:00;119
monthly;2019-07-07;2019-08-07 00:00:00;12
monthly;2019-07-07;2019-08-07 00:00:00;12
yearly;2019-07-07;2020-07-07 00:00:00;119
yearly;2019-07-07;2020-07-07 00:00:00;119
yearly;2019-07-07;2020-07-07 00:00:00;119
yearly;2019-07-07;2020-07-07 00:00:00;119
monthly;2019-07-07;2019-08-07 00:00:00;12
monthly;2019-07-07;2019-08-07 00:00:00;12
monthly;2019-07-07;2019-08-07 00:00:00;12
monthly;2019-07-07;2019-08-07 00:00:00;12
yearly;2019-07-08;2020-07-08 00:00:00;119
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
yearly;2019-07-08;2020-07-08 00:00:00;119
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
yearly;2019-07-08;2020-07-08 00:00:00;119
yearly;2019-07-08;2020-07-08 00:00:00;119
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
yearly;2019-07-08;2020-07-08 00:00:00;119
yearly;2019-07-08;2020-07-08 00:00:00;119
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
yearly;2019-07-08;2020-07-08 00:00:00;119
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-08;2019-08-08 00:00:00;12
yearly;2019-07-08;2020-07-08 00:00:00;119
yearly;2019-07-08;2020-07-08 00:00:00;119
monthly;2019-07-08;2019-08-08 00:00:00;12
monthly;2019-07-09;2019-08-09 00:00:00;12
yearly;2019-07-09;2020-07-09 00:00:00;119
monthly;2019-07-09;2019-08-09 00:00:00;12
monthly;2019-07-09;2019-08-09 00:00:00;12
yearly;2019-07-09;2020-07-09 00:00:00;119
yearly;2019-07-09;2020-07-09 00:00:00;119
yearly;2019-07-09;2020-07-09 00:00:00;119
monthly;2019-07-09;2019-08-09 00:00:00;12
yearly;2019-07-09;2020-07-09 00:00:00;119
monthly;2019-07-09;2019-08-09 00:00:00;12
monthly;2019-07-09;2019-08-09 00:00:00;12
yearly;2019-07-09;2020-07-09 00:00:00;119
monthly;2019-07-09;2019-08-09 00:00:00;12
yearly;2019-07-09;2020-07-09 00:00:00;119
monthly;2019-07-09;2019-08-09 00:00:00;12
yearly;2019-07-09;2020-07-09 00:00:00;119
yearly;2019-07-09;2020-07-09 00:00:00;119
yearly;2019-07-09;2020-07-09 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-10;2020-07-10 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-10;2020-07-10 00:00:00;119
yearly;2019-07-10;2020-07-10 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-10;2020-07-10 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-10;2020-07-10 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-10;2020-07-10 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-10;2020-07-10 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
monthly;2019-07-10;2019-08-10 00:00:00;12
monthly;2019-07-10;2019-08-10 00:00:00;12
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-10;2020-07-10 00:00:00;119
monthly;2019-07-10;2019-08-10 00:00:00;12
yearly;2019-07-11;2020-07-11 00:00:00;119
monthly;2019-07-11;2019-08-11 00:00:00;12
yearly;2019-07-11;2020-07-11 00:00:00;119
monthly;2019-07-11;2019-08-11 00:00:00;12
monthly;2019-07-11;2019-08-11 00:00:00;12
monthly;2019-07-11;2019-08-11 00:00:00;12
yearly;2019-07-11;2020-07-11 00:00:00;119
monthly;2019-07-11;2019-08-11 00:00:00;12
monthly;2019-07-11;2019-08-11 00:00:00;12
monthly;2019-07-11;2019-08-11 00:00:00;12
yearly;2019-07-11;2020-07-11 00:00:00;119
monthly;2019-07-11;2019-08-11 00:00:00;12
yearly;2019-07-11;2020-07-11 00:00:00;119
yearly;2019-07-11;2020-07-11 00:00:00;119
yearly;2019-07-11;2020-07-11 00:00:00;119
monthly;2019-07-11;2019-08-11 00:00:00;12
yearly;2019-07-11;2020-07-11 00:00:00;119
monthly;2019-07-11;2019-08-11 00:00:00;12
monthly;2019-07-11;2019-08-11 00:00:00;12
yearly;2019-07-11;2020-07-11 00:00:00;119
monthly;2019-07-12;2019-08-12 00:00:00;12
yearly;2019-07-12;2020-07-12 00:00:00;119
monthly;2019-07-12;2019-08-12 00:00:00;12
monthly;2019-07-12;2019-08-12 00:00:00;12
monthly;2019-07-12;2019-08-12 00:00:00;12
yearly;2019-07-12;2020-07-12 00:00:00;119
yearly;2019-07-12;2020-07-12 00:00:00;119
yearly;2019-07-12;2020-07-12 00:00:00;119
monthly;2019-07-12;2019-08-12 00:00:00;12
monthly;2019-07-12;2019-08-12 00:00:00;12
yearly;2019-07-12;2020-07-12 00:00:00;119
monthly;2019-07-12;2019-08-12 00:00:00;12
yearly;2019-07-12;2020-07-12 00:00:00;119
monthly;2019-07-12;2019-08-12 00:00:00;12
yearly;2019-07-12;2020-07-12 00:00:00;119
monthly;2019-07-12;2019-08-12 00:00:00;12
monthly;2019-07-12;2019-08-12 00:00:00;12
monthly;2019-07-12;2019-08-12 00:00:00;12
yearly;2019-07-12;2020-07-12 00:00:00;119
yearly;2019-07-12;2020-07-12 00:00:00;119
monthly;2019-07-12;2019-08-12 00:00:00;12
monthly;2019-07-12;2019-08-12 00:00:00;12
yearly;2019-07-13;2020-07-13 00:00:00;119
yearly;2019-07-13;2020-07-13 00:00:00;119
monthly;2019-07-13;2019-08-13 00:00:00;12
monthly;2019-07-13;2019-08-13 00:00:00;12
monthly;2019-07-13;2019-08-13 00:00:00;12
yearly;2019-07-13;2020-07-13 00:00:00;119
monthly;2019-07-13;2019-08-13 00:00:00;12
yearly;2019-07-13;2020-07-13 00:00:00;119
monthly;2019-07-13;2019-08-13 00:00:00;12
monthly;2019-07-13;2019-08-13 00:00:00;12
monthly;2019-07-13;2019-08-13 00:00:00;12
yearly;2019-07-13;2020-07-13 00:00:00;119
yearly;2019-07-13;2020-07-13 00:00:00;119
yearly;2019-07-13;2020-07-13 00:00:00;119
yearly;2019-07-13;2020-07-13 00:00:00;119
yearly;2019-07-13;2020-07-13 00:00:00;119
yearly;2019-07-13;2020-07-13 00:00:00;119
monthly;2019-07-13;2019-08-13 00:00:00;12
yearly;2019-07-13;2020-07-13 00:00:00;119
monthly;2019-07-13;2019-08-13 00:00:00;12
yearly;2019-07-13;2020-07-13 00:00:00;119
yearly;2019-07-13;2020-07-13 00:00:00;119
monthly;2019-07-14;2019-08-14 00:00:00;12
yearly;2019-07-14;2020-07-14 00:00:00;119
monthly;2019-07-14;2019-08-14 00:00:00;12
yearly;2019-07-14;2020-07-14 00:00:00;119
yearly;2019-07-14;2020-07-14 00:00:00;119
yearly;2019-07-14;2020-07-14 00:00:00;119
monthly;2019-07-14;2019-08-14 00:00:00;12
monthly;2019-07-14;2019-08-14 00:00:00;12
yearly;2019-07-14;2020-07-14 00:00:00;119
yearly;2019-07-14;2020-07-14 00:00:00;119
yearly;2019-07-14;2020-07-14 00:00:00;119
yearly;2019-07-14;2020-07-14 00:00:00;119
monthly;2019-07-14;2019-08-14 00:00:00;12
monthly;2019-07-15;2019-08-15 00:00:00;12
monthly;2019-07-15;2019-08-15 00:00:00;12
yearly;2019-07-15;2020-07-15 00:00:00;119
monthly;2019-07-15;2019-08-15 00:00:00;12
yearly;2019-07-15;2020-07-15 00:00:00;119
yearly;2019-07-15;2020-07-15 00:00:00;119
monthly;2019-07-15;2019-08-15 00:00:00;12
monthly;2019-07-15;2019-08-15 00:00:00;12
monthly;2019-07-15;2019-08-15 00:00:00;12
yearly;2019-07-15;2020-07-15 00:00:00;119
yearly;2019-07-15;2020-07-15 00:00:00;119
yearly;2019-07-15;2020-07-15 00:00:00;119
monthly;2019-07-15;2019-08-15 00:00:00;12
monthly;2019-07-15;2019-08-15 00:00:00;12
yearly;2019-07-15;2020-07-15 00:00:00;119
monthly;2019-07-15;2019-08-15 00:00:00;12
yearly;2019-07-15;2020-07-15 00:00:00;119
yearly;2019-07-15;2020-07-15 00:00:00;119
yearly;2019-07-15;2020-07-15 00:00:00;119
monthly;2019-07-15;2019-08-15 00:00:00;12
yearly;2019-07-16;2020-07-16 00:00:00;119
monthly;2019-07-16;2019-08-16 00:00:00;12
yearly;2019-07-16;2020-07-16 00:00:00;119
monthly;2019-07-16;2019-08-16 00:00:00;12
yearly;2019-07-16;2020-07-16 00:00:00;119
yearly;2019-07-16;2020-07-16 00:00:00;119
yearly;2019-07-16;2020-07-16 00:00:00;119
yearly;2019-07-16;2020-07-16 00:00:00;119
monthly;2019-07-16;2019-08-16 00:00:00;12
yearly;2019-07-16;2020-07-16 00:00:00;119
yearly;2019-07-16;2020-07-16 00:00:00;119
monthly;2019-07-16;2019-08-16 00:00:00;12
yearly;2019-07-16;2020-07-16 00:00:00;119
monthly;2019-07-16;2019-08-16 00:00:00;12
monthly;2019-07-16;2019-08-16 00:00:00;12
monthly;2019-07-16;2019-08-16 00:00:00;12
monthly;2019-07-16;2019-08-16 00:00:00;12
yearly;2019-07-16;2020-07-16 00:00:00;119
monthly;2019-07-16;2019-08-16 00:00:00;12
yearly;2019-07-17;2020-07-17 00:00:00;119
yearly;2019-07-17;2020-07-17 00:00:00;119
monthly;2019-07-17;2019-08-17 00:00:00;12
monthly;2019-07-17;2019-08-17 00:00:00;12
monthly;2019-07-17;2019-08-17 00:00:00;12
yearly;2019-07-17;2020-07-17 00:00:00;119
yearly;2019-07-17;2020-07-17 00:00:00;119
yearly;2019-07-17;2020-07-17 00:00:00;119
yearly;2019-07-17;2020-07-17 00:00:00;119
yearly;2019-07-17;2020-07-17 00:00:00;119
monthly;2019-07-17;2019-08-17 00:00:00;12
yearly;2019-07-17;2020-07-17 00:00:00;119
monthly;2019-07-17;2019-08-17 00:00:00;12
yearly;2019-07-17;2020-07-17 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-18;2020-07-18 00:00:00;119
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
monthly;2019-07-18;2019-08-18 00:00:00;12
yearly;2019-07-19;2020-07-19 00:00:00;119
monthly;2019-07-19;2019-08-19 00:00:00;12
yearly;2019-07-19;2020-07-19 00:00:00;119
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
yearly;2019-07-19;2020-07-19 00:00:00;119
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
yearly;2019-07-19;2020-07-19 00:00:00;119
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
monthly;2019-07-19;2019-08-19 00:00:00;12
yearly;2019-07-19;2020-07-19 00:00:00;119
monthly;2019-07-19;2019-08-19 00:00:00;12
yearly;2019-07-19;2020-07-19 00:00:00;119
monthly;2019-07-20;2019-08-20 00:00:00;12
monthly;2019-07-20;2019-08-20 00:00:00;12
yearly;2019-07-20;2020-07-20 00:00:00;119
monthly;2019-07-20;2019-08-20 00:00:00;12
monthly;2019-07-20;2019-08-20 00:00:00;12
yearly;2019-07-20;2020-07-20 00:00:00;119
monthly;2019-07-20;2019-08-20 00:00:00;12
monthly;2019-07-20;2019-08-20 00:00:00;12
monthly;2019-07-20;2019-08-20 00:00:00;12
yearly;2019-07-20;2020-07-20 00:00:00;119
monthly;2019-07-20;2019-08-20 00:00:00;12
monthly;2019-07-20;2019-08-20 00:00:00;12
yearly;2019-07-20;2020-07-20 00:00:00;119
monthly;2019-07-20;2019-08-20 00:00:00;12
monthly;2019-07-20;2019-08-20 00:00:00;12
yearly;2019-07-20;2020-07-20 00:00:00;119
monthly;2019-07-20;2019-08-20 00:00:00;12
yearly;2019-07-20;2020-07-20 00:00:00;119
monthly;2019-07-20;2019-08-20 00:00:00;12
yearly;2019-07-21;2020-07-21 00:00:00;119
yearly;2019-07-21;2020-07-21 00:00:00;119
monthly;2019-07-21;2019-08-21 00:00:00;12
monthly;2019-07-21;2019-08-21 00:00:00;12
monthly;2019-07-21;2019-08-21 00:00:00;12
yearly;2019-07-21;2020-07-21 00:00:00;119
monthly;2019-07-21;2019-08-21 00:00:00;12
yearly;2019-07-21;2020-07-21 00:00:00;119
yearly;2019-07-21;2020-07-21 00:00:00;119
yearly;2019-07-21;2020-07-21 00:00:00;119
yearly;2019-07-21;2020-07-21 00:00:00;119
monthly;2019-07-21;2019-08-21 00:00:00;12
monthly;2019-07-21;2019-08-21 00:00:00;12
monthly;2019-07-21;2019-08-21 00:00:00;12
yearly;2019-07-21;2020-07-21 00:00:00;119
monthly;2019-07-21;2019-08-21 00:00:00;12
yearly;2019-07-21;2020-07-21 00:00:00;119
monthly;2019-07-21;2019-08-21 00:00:00;12
monthly;2019-07-21;2019-08-21 00:00:00;12
yearly;2019-07-21;2020-07-21 00:00:00;119
monthly;2019-07-21;2019-08-21 00:00:00;12
yearly;2019-07-22;2020-07-22 00:00:00;119
yearly;2019-07-22;2020-07-22 00:00:00;119
monthly;2019-07-22;2019-08-22 00:00:00;12
monthly;2019-07-22;2019-08-22 00:00:00;12
yearly;2019-07-22;2020-07-22 00:00:00;119
yearly;2019-07-22;2020-07-22 00:00:00;119
monthly;2019-07-22;2019-08-22 00:00:00;12
monthly;2019-07-22;2019-08-22 00:00:00;12
monthly;2019-07-22;2019-08-22 00:00:00;12
monthly;2019-07-22;2019-08-22 00:00:00;12
monthly;2019-07-22;2019-08-22 00:00:00;12
monthly;2019-07-22;2019-08-22 00:00:00;12
yearly;2019-07-22;2020-07-22 00:00:00;119
yearly;2019-07-22;2020-07-22 00:00:00;119
monthly;2019-07-22;2019-08-22 00:00:00;12
yearly;2019-07-23;2020-07-23 00:00:00;119
yearly;2019-07-23;2020-07-23 00:00:00;119
yearly;2019-07-23;2020-07-23 00:00:00;119
monthly;2019-07-23;2019-08-23 00:00:00;12
yearly;2019-07-23;2020-07-23 00:00:00;119
yearly;2019-07-23;2020-07-23 00:00:00;119
yearly;2019-07-23;2020-07-23 00:00:00;119
monthly;2019-07-23;2019-08-23 00:00:00;12
yearly;2019-07-23;2020-07-23 00:00:00;119
yearly;2019-07-23;2020-07-23 00:00:00;119
monthly;2019-07-23;2019-08-23 00:00:00;12
monthly;2019-07-23;2019-08-23 00:00:00;12
monthly;2019-07-23;2019-08-23 00:00:00;12
monthly;2019-07-23;2019-08-23 00:00:00;12
yearly;2019-07-23;2020-07-23 00:00:00;119
monthly;2019-07-23;2019-08-23 00:00:00;12
yearly;2019-07-23;2020-07-23 00:00:00;119
monthly;2019-07-23;2019-08-23 00:00:00;12
yearly;2019-07-23;2020-07-23 00:00:00;119
monthly;2019-07-23;2019-08-23 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
yearly;2019-07-24;2020-07-24 00:00:00;119
yearly;2019-07-24;2020-07-24 00:00:00;119
monthly;2019-07-24;2019-08-24 00:00:00;12
yearly;2019-07-24;2020-07-24 00:00:00;119
yearly;2019-07-24;2919-31-12 00:00:00;119
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
yearly;2019-07-24;2020-07-24 00:00:00;119
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
yearly;2019-07-24;2020-07-24 00:00:00;119
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
yearly;2019-07-24;2020-07-24 00:00:00;119
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
yearly;2019-07-24;2020-07-24 00:00:00;119
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
monthly;2019-07-24;2019-08-24 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-25;2019-08-25 00:00:00;12
yearly;2019-07-25;2020-07-25 00:00:00;119
monthly;2019-07-25;2019-08-25 00:00:00;12
monthly;2019-07-26;2019-08-26 00:00:00;12
yearly;2019-07-26;2020-07-26 00:00:00;119
yearly;2019-07-26;2020-07-26 00:00:00;119
monthly;2019-07-26;2019-08-26 00:00:00;12
monthly;2019-07-26;2019-08-26 00:00:00;12
yearly;2019-07-26;2020-07-26 00:00:00;119
monthly;2019-07-26;2019-08-26 00:00:00;12
yearly;2019-07-26;2020-07-26 00:00:00;119
yearly;2019-07-26;2020-07-26 00:00:00;119
monthly;2019-07-26;2019-08-26 00:00:00;12
yearly;2019-07-26;2020-07-26 00:00:00;119
monthly;2019-07-26;2019-08-26 00:00:00;12
yearly;2019-07-26;2020-07-26 00:00:00;119
yearly;2019-07-26;2020-07-26 00:00:00;119
monthly;2019-07-26;2019-08-26 00:00:00;12
monthly;2019-07-26;2019-08-26 00:00:00;12
monthly;2019-07-26;2019-08-26 00:00:00;12
monthly;2019-07-27;2019-08-27 00:00:00;12
monthly;2019-07-27;2019-08-27 00:00:00;12
monthly;2019-07-27;2019-08-27 00:00:00;12
yearly;2019-07-27;2020-07-27 00:00:00;119
yearly;2019-07-27;2020-07-27 00:00:00;119
monthly;2019-07-27;2019-08-27 00:00:00;12
monthly;2019-07-27;2019-08-27 00:00:00;12
monthly;2019-07-27;2019-08-27 00:00:00;12
