plan;supply_date_start;supply_date_end;amount;country
monthly;2019-10-01;2019-11-01 00:00:00;12;US
yearly;2019-10-01;2020-10-01 00:00:00;119;US
yearly;2019-10-01;2020-10-01 00:00:00;119;FR
yearly;2019-10-01;2020-10-01 00:00:00;119;usa
yearly;2019-10-01;2020-10-01 00:00:00;119;germany
monthly;2019-10-01;2019-11-01 00:00:00;12;FR
monthly;2019-10-01;2019-11-01 00:00:00;12;US
monthly;2019-10-01;2019-11-01 00:00:00;12;germany
yearly;2019-10-01;2020-10-01 00:00:00;119;france
yearly;2019-10-01;2020-10-01 00:00:00;119;germany
yearly;2019-10-01;2020-10-01 00:00:00;119;de
yearly;2019-10-01;2020-10-01 00:00:00;119;usa
monthly;2019-10-01;2019-11-01 00:00:00;12;de
yearly;2019-10-02;2020-10-02 00:00:00;119;usa
yearly;2019-10-02;2020-10-02 00:00:00;119;usa
monthly;2019-10-02;2019-11-02 00:00:00;12;grmany
monthly;2019-10-02;2019-11-02 00:00:00;12;us
monthly;2019-10-02;2019-11-02 00:00:00;12;france   
monthly;2019-10-02;2019-11-02 00:00:00;12;de
monthly;2019-10-02;2019-11-02 00:00:00;12;FR
yearly;2019-10-02;2020-10-02 00:00:00;119;france
monthly;2019-10-02;2019-11-02 00:00:00;12;usa
yearly;2019-10-02;2020-10-02 00:00:00;119;france   
monthly;2019-10-02;2019-11-02 00:00:00;12;US
monthly;2019-10-02;2019-11-02 00:00:00;12;DE
monthly;2019-10-02;2019-11-02 00:00:00;12;france   
monthly;2019-10-02;2019-11-02 00:00:00;12;grmany
monthly;2019-10-02;2019-11-02 00:00:00;12;germany
monthly;2019-10-02;2019-11-02 00:00:00;12;us
yearly;2019-10-02;2020-10-02 00:00:00;119;FR
monthly;2019-10-02;2019-11-02 00:00:00;12;US
yearly;2019-10-02;2020-10-02 00:00:00;119;us
yearly;2019-10-02;2020-10-02 00:00:00;119;de
yearly;2019-10-02;2020-10-02 00:00:00;119;france   
yearly;2019-10-02;2020-10-02 00:00:00;119;de
yearly;2019-10-02;2020-10-02 00:00:00;119;france   
monthly;2019-10-02;2019-11-02 00:00:00;12;germany
monthly;2019-10-02;2019-11-02 00:00:00;12;us
monthly;2019-10-02;2019-11-02 00:00:00;12;usa
yearly;2019-10-02;2020-10-02 00:00:00;119;usa
yearly;2019-10-02;2020-10-02 00:00:00;119;de
monthly;2019-10-02;2019-11-02 00:00:00;12;FR
monthly;2019-10-02;2019-11-02 00:00:00;12;US
yearly;2019-10-02;2020-10-02 00:00:00;119;germany
yearly;2019-10-02;2020-10-02 00:00:00;119;de
monthly;2019-10-02;2019-11-02 00:00:00;12;US
monthly;2019-10-02;2019-11-02 00:00:00;12;us
monthly;2019-10-02;2019-11-02 00:00:00;12;us
monthly;2019-10-02;2019-11-02 00:00:00;12;germany
monthly;2019-10-02;2019-11-02 00:00:00;12;france   
yearly;2019-10-02;2020-10-02 00:00:00;119;de
monthly;2019-10-02;2019-11-02 00:00:00;12;de
yearly;2019-10-02;2020-10-02 00:00:00;119;france
yearly;2019-10-02;2020-10-02 00:00:00;119;usa
monthly;2019-10-02;2019-11-02 00:00:00;12;US
monthly;2019-10-02;2019-11-02 00:00:00;12;usa
monthly;2019-10-02;2019-11-02 00:00:00;12;grmany
monthly;2019-10-02;2019-11-02 00:00:00;12;france
monthly;2019-10-02;2019-11-02 00:00:00;12;grmany
monthly;2019-10-02;2019-11-02 00:00:00;12;us
yearly;2019-10-02;2020-10-02 00:00:00;119;de
yearly;2019-10-02;2020-10-02 00:00:00;119;de
monthly;2019-10-03;2019-11-03 00:00:00;12;FR
monthly;2019-10-03;2019-11-03 00:00:00;12;us
monthly;2019-10-03;2019-11-03 00:00:00;12;de
monthly;2019-10-03;2019-11-03 00:00:00;12;usa
yearly;2019-10-03;2020-10-03 00:00:00;119;germany
monthly;2019-10-03;2019-11-03 00:00:00;12;germany
monthly;2019-10-03;2019-11-03 00:00:00;12;france
monthly;2019-10-03;2019-11-03 00:00:00;12;de
monthly;2019-10-03;2019-11-03 00:00:00;12;FR
yearly;2019-10-03;2020-10-03 00:00:00;119;us
yearly;2019-10-03;2020-10-03 00:00:00;119;FR
yearly;2019-10-03;2020-10-03 00:00:00;119;usa
yearly;2019-10-03;2020-10-03 00:00:00;119;DE
yearly;2019-10-03;2020-10-03 00:00:00;119;usa
yearly;2019-10-03;2020-10-03 00:00:00;119;DE
monthly;2019-10-03;2019-11-03 00:00:00;12;france   
monthly;2019-10-03;2019-11-03 00:00:00;12;france   
monthly;2019-10-03;2019-11-03 00:00:00;12;US
yearly;2019-10-03;2020-10-03 00:00:00;119;grmany
yearly;2019-10-03;2020-10-03 00:00:00;119;grmany
yearly;2019-10-03;2020-10-03 00:00:00;119;grmany
yearly;2019-10-03;2020-10-03 00:00:00;119;germany
monthly;2019-10-03;2019-11-03 00:00:00;12;usa
yearly;2019-10-03;2020-10-03 00:00:00;119;DE
monthly;2019-10-03;2019-11-03 00:00:00;12;france
yearly;2019-10-03;2020-10-03 00:00:00;119;US
monthly;2019-10-03;2019-11-03 00:00:00;12;de
monthly;2019-10-03;2019-11-03 00:00:00;12;grmany
monthly;2019-10-03;2019-11-03 00:00:00;12;grmany
monthly;2019-10-03;2019-11-03 00:00:00;12;de
monthly;2019-10-03;2019-11-03 00:00:00;12;us
monthly;2019-10-03;2019-11-03 00:00:00;12;DE
monthly;2019-10-03;2019-11-03 00:00:00;12;us
monthly;2019-10-03;2019-11-03 00:00:00;12;us
monthly;2019-10-03;2019-11-03 00:00:00;12;DE
monthly;2019-10-03;2019-11-03 00:00:00;12;US
yearly;2019-10-03;2020-10-03 00:00:00;119;FR
yearly;2019-10-03;2020-10-03 00:00:00;119;de
monthly;2019-10-03;2019-11-03 00:00:00;12;DE
monthly;2019-10-03;2019-11-03 00:00:00;12;germany
yearly;2019-10-03;2020-10-03 00:00:00;119;US
yearly;2019-10-03;2020-10-03 00:00:00;119;usa
yearly;2019-10-03;2020-10-03 00:00:00;119;US
monthly;2019-10-04;2019-11-04 00:00:00;12;us
monthly;2019-10-04;2019-11-04 00:00:00;12;grmany
yearly;2019-10-04;2020-10-04 00:00:00;119;grmany
yearly;2019-10-04;2020-10-04 00:00:00;119;usa
monthly;2919-31-12;2919-31-12 00:00:00;12;US
yearly;2019-10-04;2020-10-04 00:00:00;119;DE
yearly;2019-10-04;2020-10-04 00:00:00;119;grmany
monthly;2019-10-04;2019-11-04 00:00:00;12;de
yearly;2019-10-04;2020-10-04 00:00:00;119;de
monthly;2019-10-04;2019-11-04 00:00:00;12;grmany
monthly;2019-10-04;2019-11-04 00:00:00;12;grmany
monthly;2019-10-04;2019-11-04 00:00:00;12;germany
monthly;2019-10-04;2019-11-04 00:00:00;12;US
monthly;2019-10-04;2019-11-04 00:00:00;12;FR
yearly;2019-10-04;2020-10-04 00:00:00;119;DE
monthly;2019-10-04;2019-11-04 00:00:00;12;US
yearly;2019-10-04;2020-10-04 00:00:00;119;grmany
monthly;2019-10-04;2019-11-04 00:00:00;12;grmany
monthly;2019-10-04;2019-11-04 00:00:00;12;us
monthly;2019-10-04;2019-11-04 00:00:00;12;de
yearly;2019-10-04;2020-10-04 00:00:00;119;us
yearly;2019-10-04;2020-10-04 00:00:00;119;US
monthly;2019-10-04;2019-11-04 00:00:00;12;us
monthly;2019-10-04;2019-11-04 00:00:00;12;france   
yearly;2019-10-04;2020-10-04 00:00:00;119;us
yearly;2019-10-04;2020-10-04 00:00:00;119;US
monthly;2019-10-04;2019-11-04 00:00:00;12;US
monthly;2019-10-04;2019-11-04 00:00:00;12;germany
monthly;2019-10-04;2019-11-04 00:00:00;12;US
yearly;2019-10-04;2020-10-04 00:00:00;119;france
yearly;2019-10-04;2020-10-04 00:00:00;119;us
yearly;2019-10-04;2020-10-04 00:00:00;119;us
yearly;2019-10-04;2020-10-04 00:00:00;119;de
monthly;2019-10-04;2019-11-04 00:00:00;12;germany
monthly;2019-10-04;2019-11-04 00:00:00;12;germany
monthly;2019-10-04;2019-11-04 00:00:00;12;france
yearly;2019-10-04;2020-10-04 00:00:00;119;FR
monthly;2019-10-04;2019-11-04 00:00:00;12;germany
monthly;2019-10-04;2019-11-04 00:00:00;12;us
monthly;2019-10-04;2019-11-04 00:00:00;12;france   
yearly;2019-10-04;2020-10-04 00:00:00;119;FR
yearly;2019-10-05;2020-10-05 00:00:00;119;de
monthly;2019-10-05;2019-11-05 00:00:00;12;us
yearly;2019-10-05;2020-10-05 00:00:00;119;us
monthly;2019-10-05;2019-11-05 00:00:00;12;US
monthly;2019-10-05;2019-11-05 00:00:00;12;US
monthly;2019-10-05;2019-11-05 00:00:00;12;FR
yearly;2019-10-05;2020-10-05 00:00:00;119;france   
monthly;2019-10-05;2019-11-05 00:00:00;12;DE
monthly;2019-10-05;2019-11-05 00:00:00;12;grmany
monthly;2019-10-05;2019-11-05 00:00:00;12;germany
yearly;2019-10-05;2020-10-05 00:00:00;119;germany
monthly;2019-10-05;2019-11-05 00:00:00;12;usa
yearly;2019-10-05;2020-10-05 00:00:00;119;us
monthly;2019-10-05;2019-11-05 00:00:00;12;france
yearly;2019-10-05;2020-10-05 00:00:00;119;us
monthly;2019-10-05;2019-11-05 00:00:00;12;germany
monthly;2019-10-05;2019-11-05 00:00:00;12;france
monthly;2019-10-05;2019-11-05 00:00:00;12;de
yearly;2019-10-05;2020-10-05 00:00:00;119;grmany
yearly;2019-10-05;2020-10-05 00:00:00;119;us
yearly;2019-10-05;2020-10-05 00:00:00;119;usa
monthly;2019-10-05;2019-11-05 00:00:00;12;france   
monthly;2019-10-05;2019-11-05 00:00:00;12;DE
monthly;2019-10-05;2019-11-05 00:00:00;12;US
monthly;2019-10-05;2019-11-05 00:00:00;12;FR
monthly;2019-10-05;2019-11-05 00:00:00;12;grmany
monthly;2019-10-05;2019-11-05 00:00:00;12;US
monthly;2019-10-05;2019-11-05 00:00:00;12;FR
yearly;2019-10-05;2020-10-05 00:00:00;119;france   
monthly;2019-10-05;2019-11-05 00:00:00;12;FR
monthly;2019-10-05;2019-11-05 00:00:00;12;usa
monthly;2019-10-05;2019-11-05 00:00:00;12;germany
monthly;2019-10-05;2019-11-05 00:00:00;12;DE
monthly;2019-10-05;2019-11-05 00:00:00;12;grmany
yearly;2019-10-05;2020-10-05 00:00:00;119;france
monthly;2019-10-05;2019-11-05 00:00:00;12;US
monthly;2019-10-05;2019-11-05 00:00:00;12;grmany
monthly;2019-10-05;2019-11-05 00:00:00;12;france
monthly;2019-10-05;2019-11-05 00:00:00;12;france   
yearly;2019-10-05;2020-10-05 00:00:00;119;DE
monthly;2019-10-05;2019-11-05 00:00:00;12;us
monthly;2019-10-05;2019-11-05 00:00:00;12;US
yearly;2019-10-05;2020-10-05 00:00:00;119;us
monthly;2019-10-05;2019-11-05 00:00:00;12;france
monthly;2019-10-05;2019-11-05 00:00:00;12;DE
monthly;2019-10-05;2019-11-05 00:00:00;12;FR
monthly;2019-10-05;2019-11-05 00:00:00;12;grmany
monthly;2019-10-05;2019-11-05 00:00:00;12;de
monthly;2019-10-05;2019-11-05 00:00:00;12;grmany
yearly;2019-10-05;2020-10-05 00:00:00;119;germany
yearly;2019-10-05;2020-10-05 00:00:00;119;de
monthly;2019-10-05;2019-11-05 00:00:00;12;france
yearly;2019-10-05;2020-10-05 00:00:00;119;FR
yearly;2019-10-06;2020-10-06 00:00:00;119;france
yearly;2019-10-06;2020-10-06 00:00:00;119;DE
monthly;2019-10-06;2019-11-06 00:00:00;12;germany
monthly;2019-10-06;2019-11-06 00:00:00;12;FR
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;us
monthly;2019-10-06;2019-11-06 00:00:00;12;US
monthly;2019-10-06;2019-11-06 00:00:00;12;FR
yearly;2019-10-06;2020-10-06 00:00:00;119;usa
yearly;2019-10-06;2020-10-06 00:00:00;119;FR
monthly;2019-10-06;2019-11-06 00:00:00;12;FR
monthly;2019-10-06;2019-11-06 00:00:00;12;US
monthly;2019-10-06;2019-11-06 00:00:00;12;germany
yearly;2019-10-06;2020-10-06 00:00:00;119;us
monthly;2019-10-06;2019-11-06 00:00:00;12;de
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;US
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;US
yearly;2019-10-06;2020-10-06 00:00:00;119;US
monthly;2019-10-06;2019-11-06 00:00:00;12;US
monthly;2019-10-06;2019-11-06 00:00:00;12;us
yearly;2019-10-06;2020-10-06 00:00:00;119;FR
yearly;2019-10-06;2020-10-06 00:00:00;119;de
yearly;2019-10-06;2020-10-06 00:00:00;119;france
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;france
monthly;2019-10-06;2019-11-06 00:00:00;12;de
yearly;2019-10-06;2020-10-06 00:00:00;119;france   
yearly;2019-10-06;2020-10-06 00:00:00;119;FR
monthly;2019-10-06;2019-11-06 00:00:00;12;usa
monthly;2019-10-06;2019-11-06 00:00:00;12;FR
yearly;2019-10-06;2020-10-06 00:00:00;119;us
yearly;2019-10-06;2020-10-06 00:00:00;119;france   
monthly;2019-10-06;2019-11-06 00:00:00;12;france   
monthly;2019-10-06;2019-11-06 00:00:00;12;germany
monthly;2019-10-06;2019-11-06 00:00:00;12;DE
monthly;2019-10-07;2019-11-07 00:00:00;12;FR
yearly;2019-10-07;2020-10-07 00:00:00;119;de
monthly;2019-10-07;2019-11-07 00:00:00;12;france
monthly;2019-10-07;2019-11-07 00:00:00;12;france
monthly;2019-10-07;2019-11-07 00:00:00;12;de
monthly;2019-10-07;2019-11-07 00:00:00;12;de
yearly;2019-10-07;2020-10-07 00:00:00;119;france   
monthly;2019-10-07;2019-11-07 00:00:00;12;us
monthly;2019-10-07;2019-11-07 00:00:00;12;US
yearly;2019-10-07;2020-10-07 00:00:00;119;FR
monthly;2019-10-07;2019-11-07 00:00:00;12;france
monthly;2019-10-07;2019-11-07 00:00:00;12;DE
monthly;2019-10-07;2019-11-07 00:00:00;12;de
yearly;2019-10-07;2020-10-07 00:00:00;119;france   
monthly;2019-10-07;2019-11-07 00:00:00;12;de
monthly;2019-10-07;2019-11-07 00:00:00;12;germany
monthly;2019-10-07;2019-11-07 00:00:00;12;usa
monthly;2019-10-07;2019-11-07 00:00:00;12;grmany
yearly;2019-10-07;2020-10-07 00:00:00;119;DE
monthly;2019-10-07;2019-11-07 00:00:00;12;us
yearly;2019-10-07;2020-10-07 00:00:00;119;US
yearly;2019-10-07;2020-10-07 00:00:00;119;grmany
monthly;2019-10-07;2019-11-07 00:00:00;12;france
monthly;2019-10-07;2019-11-07 00:00:00;12;germany
monthly;2019-10-07;2019-11-07 00:00:00;12;us
monthly;2019-10-07;2019-11-07 00:00:00;12;us
yearly;2019-10-07;2020-10-07 00:00:00;119;de
yearly;2019-10-07;2020-10-07 00:00:00;119;us
yearly;2019-10-07;2020-10-07 00:00:00;119;france   
yearly;2019-10-07;2020-10-07 00:00:00;119;DE
monthly;2019-10-07;2019-11-07 00:00:00;12;US
monthly;2019-10-07;2019-11-07 00:00:00;12;usa
yearly;2019-10-07;2020-10-07 00:00:00;119;FR
monthly;2019-10-07;2019-11-07 00:00:00;12;FR
yearly;2019-10-07;2020-10-07 00:00:00;119;france
monthly;2019-10-07;2019-11-07 00:00:00;12;grmany
monthly;2019-10-07;2019-11-07 00:00:00;12;us
monthly;2019-10-07;2019-11-07 00:00:00;12;germany
yearly;2019-10-07;2020-10-07 00:00:00;119;US
yearly;2019-10-07;2020-10-07 00:00:00;119;DE
monthly;2019-10-07;2019-11-07 00:00:00;12;DE
yearly;2019-10-07;2020-10-07 00:00:00;119;france
yearly;2019-10-07;2020-10-07 00:00:00;119;grmany
monthly;2019-10-08;2019-11-08 00:00:00;12;us
monthly;2019-10-08;2019-11-08 00:00:00;12;US
yearly;2019-10-08;2020-10-08 00:00:00;119;usa
monthly;2019-10-08;2019-11-08 00:00:00;12;FR
monthly;2019-10-08;2019-11-08 00:00:00;12;US
yearly;2019-10-08;2020-10-08 00:00:00;119;us
monthly;2019-10-08;2019-11-08 00:00:00;12;de
monthly;2019-10-08;2019-11-08 00:00:00;12;france   
yearly;2019-10-08;2020-10-08 00:00:00;119;FR
monthly;2019-10-08;2019-11-08 00:00:00;12;france
yearly;2019-10-08;2020-10-08 00:00:00;119;france   
monthly;2019-10-08;2019-11-08 00:00:00;12;germany
yearly;2019-10-08;2020-10-08 00:00:00;119;DE
monthly;2019-10-08;2019-11-08 00:00:00;12;de
monthly;2019-10-08;2019-11-08 00:00:00;12;germany
yearly;2019-10-08;2020-10-08 00:00:00;119;france   
yearly;2019-10-08;2020-10-08 00:00:00;119;de
yearly;2019-10-08;2020-10-08 00:00:00;119;us
monthly;2019-10-08;2019-11-08 00:00:00;12;france
yearly;2019-10-08;2020-10-08 00:00:00;119;US
monthly;2019-10-08;2019-11-08 00:00:00;12;us
monthly;2019-10-08;2019-11-08 00:00:00;12;DE
yearly;2019-10-08;2020-10-08 00:00:00;119;FR
monthly;2019-10-08;2019-11-08 00:00:00;12;US
yearly;2019-10-08;2020-10-08 00:00:00;119;usa
monthly;2019-10-08;2019-11-08 00:00:00;12;FR
yearly;2019-10-08;2020-10-08 00:00:00;119;grmany
yearly;2019-10-08;2020-10-08 00:00:00;119;germany
monthly;2019-10-08;2019-11-08 00:00:00;12;US
yearly;2019-10-08;2020-10-08 00:00:00;119;US
monthly;2019-10-08;2019-11-08 00:00:00;12;US
monthly;2019-10-08;2019-11-08 00:00:00;12;germany
monthly;2019-10-08;2019-11-08 00:00:00;12;germany
yearly;2019-10-08;2020-10-08 00:00:00;119;germany
monthly;2019-10-08;2019-11-08 00:00:00;12;de
monthly;2019-10-08;2019-11-08 00:00:00;12;DE
yearly;2019-10-08;2020-10-08 00:00:00;119;us
yearly;2019-10-08;2020-10-08 00:00:00;119;france   
yearly;2019-10-08;2020-10-08 00:00:00;119;grmany
monthly;2019-10-08;2019-11-08 00:00:00;12;france
yearly;2019-10-08;2020-10-08 00:00:00;119;DE
yearly;2019-10-08;2020-10-08 00:00:00;119;france
monthly;2019-10-08;2019-11-08 00:00:00;12;us
monthly;2019-10-08;2019-11-08 00:00:00;12;de
yearly;2019-10-08;2020-10-08 00:00:00;119;US
monthly;2019-10-08;2019-11-08 00:00:00;12;US
monthly;2019-10-08;2019-11-08 00:00:00;12;FR
monthly;2019-10-08;2019-11-08 00:00:00;12;france   
monthly;2019-10-08;2019-11-08 00:00:00;12;france
yearly;2019-10-08;2020-10-08 00:00:00;119;france   
yearly;2019-10-09;2020-10-09 00:00:00;119;DE
monthly;2019-10-09;2019-11-09 00:00:00;12;us
yearly;2019-10-09;2020-10-09 00:00:00;119;france   
monthly;2019-10-09;2019-11-09 00:00:00;12;de
yearly;2019-10-09;2020-10-09 00:00:00;119;grmany
monthly;2019-10-09;2019-11-09 00:00:00;12;de
monthly;2019-10-09;2019-11-09 00:00:00;12;germany
yearly;2019-10-09;2020-10-09 00:00:00;119;DE
monthly;2019-10-09;2019-11-09 00:00:00;12;usa
yearly;2019-10-09;2020-10-09 00:00:00;119;us
yearly;2019-10-09;2020-10-09 00:00:00;119;usa
monthly;2019-10-09;2019-11-09 00:00:00;12;france   
monthly;2019-10-09;2019-11-09 00:00:00;12;de
yearly;2019-10-09;2020-10-09 00:00:00;119;us
monthly;2019-10-09;2019-11-09 00:00:00;12;germany
monthly;2019-10-09;2019-11-09 00:00:00;12;us
monthly;2019-10-09;2019-11-09 00:00:00;12;US
monthly;2019-10-09;2019-11-09 00:00:00;12;france   
yearly;2019-10-09;2020-10-09 00:00:00;119;germany
monthly;2019-10-09;2019-11-09 00:00:00;12;us
monthly;2019-10-09;2019-11-09 00:00:00;12;usa
monthly;2019-10-09;2019-11-09 00:00:00;12;FR
yearly;2019-10-09;2020-10-09 00:00:00;119;france   
yearly;2019-10-09;2020-10-09 00:00:00;119;de
yearly;2019-10-09;2020-10-09 00:00:00;119;usa
monthly;2019-10-09;2019-11-09 00:00:00;12;us
monthly;2019-10-09;2019-11-09 00:00:00;12;de
yearly;2019-10-09;2020-10-09 00:00:00;119;US
monthly;2019-10-09;2019-11-09 00:00:00;12;US
yearly;2019-10-09;2020-10-09 00:00:00;119;france   
monthly;2019-10-09;2019-11-09 00:00:00;12;FR
monthly;2019-10-09;2019-11-09 00:00:00;12;de
yearly;2019-10-09;2020-10-09 00:00:00;119;usa
monthly;2019-10-09;2019-11-09 00:00:00;12;FR
yearly;2019-10-09;2020-10-09 00:00:00;119;usa
yearly;2019-10-09;2020-10-09 00:00:00;119;grmany
yearly;2019-10-09;2020-10-09 00:00:00;119;FR
monthly;2019-10-09;2019-11-09 00:00:00;12;US
monthly;2019-10-09;2019-11-09 00:00:00;12;us
monthly;2019-10-09;2019-11-09 00:00:00;12;DE
monthly;2019-10-09;2019-11-09 00:00:00;12;grmany
monthly;2019-10-09;2019-11-09 00:00:00;12;grmany
monthly;2019-10-09;2019-11-09 00:00:00;12;DE
monthly;2019-10-09;2019-11-09 00:00:00;12;US
monthly;2019-10-09;2019-11-09 00:00:00;12;france   
monthly;2019-10-09;2019-11-09 00:00:00;12;usa
monthly;2019-10-09;2019-11-09 00:00:00;12;germany
monthly;2019-10-09;2019-11-09 00:00:00;12;grmany
yearly;2019-10-09;2020-10-09 00:00:00;119;grmany
yearly;2019-10-09;2020-10-09 00:00:00;119;grmany
yearly;2019-10-09;2020-10-09 00:00:00;119;US
monthly;2019-10-09;2019-11-09 00:00:00;12;de
yearly;2019-10-09;2020-10-09 00:00:00;119;grmany
yearly;2019-10-09;2020-10-09 00:00:00;119;DE
monthly;2019-10-10;2019-11-10 00:00:00;12;DE
monthly;2019-10-10;2019-11-10 00:00:00;12;france   
yearly;2019-10-10;2020-10-10 00:00:00;119;grmany
yearly;2019-10-10;2020-10-10 00:00:00;119;grmany
yearly;2019-10-10;2020-10-10 00:00:00;119;US
monthly;2019-10-10;2019-11-10 00:00:00;12;france
monthly;2019-10-10;2019-11-10 00:00:00;12;FR
monthly;2019-10-10;2019-11-10 00:00:00;12;FR
monthly;2019-10-10;2019-11-10 00:00:00;12;FR
monthly;2019-10-10;2019-11-10 00:00:00;12;germany
monthly;2019-10-10;2019-11-10 00:00:00;12;usa
yearly;2019-10-10;2020-10-10 00:00:00;119;FR
monthly;2019-10-10;2019-11-10 00:00:00;12;us
monthly;2019-10-10;2019-11-10 00:00:00;12;us
yearly;2019-10-10;2020-10-10 00:00:00;119;DE
monthly;2019-10-10;2019-11-10 00:00:00;12;DE
yearly;2019-10-10;2020-10-10 00:00:00;119;france   
yearly;2019-10-10;2020-10-10 00:00:00;119;france   
yearly;2019-10-10;2020-10-10 00:00:00;119;grmany
yearly;2019-10-10;2020-10-10 00:00:00;119;france   
monthly;2019-10-10;2019-11-10 00:00:00;12;de
yearly;2019-10-10;2020-10-10 00:00:00;119;de
monthly;2019-10-10;2019-11-10 00:00:00;12;grmany
monthly;2019-10-10;2019-11-10 00:00:00;12;de
monthly;2019-10-10;2019-11-10 00:00:00;12;de
yearly;2019-10-10;2020-10-10 00:00:00;119;de
yearly;2019-10-10;2020-10-10 00:00:00;119;france
yearly;2019-10-10;2020-10-10 00:00:00;119;us
monthly;2019-10-10;2019-11-10 00:00:00;12;grmany
yearly;2019-10-10;2020-10-10 00:00:00;119;france   
monthly;2019-10-10;2019-11-10 00:00:00;12;FR
monthly;2019-10-10;2019-11-10 00:00:00;12;germany
monthly;2019-10-10;2019-11-10 00:00:00;12;usa
yearly;2019-10-10;2020-10-10 00:00:00;119;US
monthly;2019-10-10;2019-11-10 00:00:00;12;germany
monthly;2019-10-10;2019-11-10 00:00:00;12;france   
monthly;2019-10-10;2019-11-10 00:00:00;12;usa
monthly;2019-10-10;2019-11-10 00:00:00;12;france
monthly;2019-10-10;2019-11-10 00:00:00;12;germany
monthly;2019-10-10;2019-11-10 00:00:00;12;france
yearly;2019-10-10;2020-10-10 00:00:00;119;FR
monthly;2019-10-10;2019-11-10 00:00:00;12;grmany
monthly;2019-10-10;2019-11-10 00:00:00;12;us
yearly;2019-10-10;2020-10-10 00:00:00;119;france   
monthly;2019-10-10;2019-11-10 00:00:00;12;US
monthly;2019-10-10;2019-11-10 00:00:00;12;DE
monthly;2019-10-10;2019-11-10 00:00:00;12;us
monthly;2019-10-10;2019-11-10 00:00:00;12;usa
yearly;2019-10-10;2020-10-10 00:00:00;119;usa
monthly;2019-10-10;2019-11-10 00:00:00;12;de
yearly;2019-10-10;2020-10-10 00:00:00;119;germany
monthly;2019-10-10;2019-11-10 00:00:00;12;FR
monthly;2019-10-10;2019-11-10 00:00:00;12;us
monthly;2019-10-10;2019-11-10 00:00:00;12;usa
monthly;2019-10-11;2019-11-11 00:00:00;12;grmany
monthly;2019-10-11;2019-11-11 00:00:00;12;germany
monthly;2019-10-11;2019-11-11 00:00:00;12;france   
yearly;2019-10-11;2020-10-11 00:00:00;119;de
monthly;2019-10-11;2019-11-11 00:00:00;12;france   
monthly;2019-10-11;2019-11-11 00:00:00;12;grmany
yearly;2019-10-11;2020-10-11 00:00:00;119;DE
monthly;2019-10-11;2019-11-11 00:00:00;12;usa
yearly;2019-10-11;2020-10-11 00:00:00;119;de
